"2011070-0VINIL UNITRAMA UT100WD (NV3801) PERMANENTE GREY MATTE C/ 1,06mt-.",,"53,00",M2,"8,49","257,36","450,00","42,81%"
"2011121-0VINIL UNITRAMA UT100WD (NV3801) PERMANENTE GREY MATTE C/ 1,27mt-.",,"63,50",M2,"8,49","321,13","539,00","40,42%"
,Total :,"319,50",,"6,95","1.319,92","2.219,00","40,52%"
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013140-0ACM SIGNBOND AZUL CLARO 3mm 1.22 x 5.00mt T8850-.,,"4,00",UN,"445,75","1.069,50","1.783,00","40,02%"
,Total :,"4,00",,"445,75","1.069,50","1.783,00","40,02%"
2020.2016,CHAPA PVC | UNIPOL,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2019121-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 05MM-.,,"2,00",UN,"90,00","106,86","180,00","40,63%"
2019103-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 10MM-.,,"2,00",UN,"159,00","190,78","318,00","40,01%"
2019104-0PVC EXPANDIDO UNIPOL BRANCO 1220x2440 - 20MM-.,,"2,00",UN,"341,00","376,86","682,00","44,74%"
,Total :,"6,00",,"196,67","674,50","1.180,00","42,84%"
2028.2023,CHAPA POLICARBONATO | CHAPAS,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2017545-0CHAPA POLICARBONATO MDP 2100x6000x4MM FUME-.,,"1,00",UN,"470,00","281,30","470,00","40,15%"
,Total :,"1,00",,"470,00","281,30","470,00","40,15%"
,TOTAL CIDADE:,"580,50",,,"4.286,85","7.230,00","40,71%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,05/12/2025 08:59,,h,Página :,0012/,73
PB,BAYEUX,,,,,,
10.1,CARTUCHO DE TONER | HP,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
4114-0,CART. DE TONER COMP. COM PM 1105A/1107A 1K COM CHIP EVOLUT(CX C/ 15)-.,"1,00",PC,"65,00","24,80","65,00","61,85%"
3162-0,CART. DE TONER COMP. COM PM CB435/436/285/278 U 2K EVOLUT(CX C/ 20)-.,"20,00",PC,"26,00","335,31","520,00","35,52%"
3136-0,"CART. DE TONER COMP. COM PM CB540/CE320/CF210 BK 2,2K EVOLUT(CX C/ 15)-.","1,00",PC,"75,00","29,13","75,00","61,16%"
3137-0,"CART. DE TONER COMP. COM PM CB541/CE321/CF211 CYAN 1,8K EVOLUT(CX C/ 15)-.","1,00",PC,"75,00","27,29","75,00","63,61%"
3138-0,"CART. DE TONER COMP. COM PM CB542/CE322/CF212 YELL 1,4K EVOLUT(CX C/ 15)-.","1,00",PC,"75,00","28,66","75,00","61,79%"
3139-0,"CART. DE TONER COMP. COM PM CB543/CE323/CF213 MAG 1,4K EVOLUT(CX C/ 15)-.","1,00",PC,"75,00","28,80","75,00","61,60%"
3120-0,"CART. DE TONER COMP. COM PM CE311/CF351A (1025) CYAN 1,2K EVOLUT(CX C/ 20)-S/CAIXA","1,00",PC,"50,00","17,81","50,00","64,38%"
3121-0,"CART. DE TONER COMP. COM PM CE312/CF352A (1025) YELL 1,2K EVOLUT(CX C/ 20)-S/CAIXA","1,00",PC,"50,00","17,47","50,00","65,06%"
3122-0,"CART. DE TONER COMP. COM PM CE313/CF353A (1025) MAG 1,2K EVOLUT(CX C/ 20)-S/CAIXA","1,00",PC,"50,00","17,71","50,00","64,58%"
3076-0,"CART. DE TONER COMP. COM PM CF217A/M130/M102 1,6K CHMT(CX C/25)-.","2,00",PC,"65,00","32,75","130,00","74,81%"
