"2011116-0VINIL UNIPRO INTERM. MATTE (NV2013) C/ 1,27mt-.",,"63,50",M2,"5,70","212,88","361,95","41,19%"
,Total :,"116,50",,"5,70","386,36","664,05","41,82%"
2003.2052,ACM | UNIBOND 1.50,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013197-0ACM UNIBOND BRANCO FOSCO 3mm,1.50 x 5.00mt UNI8813-.,"1,00",UN,"599,00","351,29","599,00","41,35%"
2013074-0ACM UNIBOND GRAFITE 3mm 1.50 x 5.00mt,8863-.,"21,00",UN,"600,00","7.380,29","12.600,00","41,43%"
2013206-0ACM UNIBOND GRAFITE ESCURO 3mm,1.50 x 5.00mt 8865-.,"4,00",UN,"602,00","1.414,87","2.408,00","41,24%"
,Total :,"26,00",,"600,27","9.146,44","15.607,00","41,40%"
RMOV336 - Conferências de Saídas por Divisão de Produtos,Emissão:,04/12/2025 12:34,,h,Página :,0008/,68
PB,CABEDELO,,,,,,
2003.2053,ACM | SIGNBOND 1.22,,,,,,
Produto,Descrição,Quantidade,UN,Preço Médio,Custo Total,Vlr. Total,%Margem
2013140-0ACM SIGNBOND AZUL CLARO 3mm 1.22 x 5.00mt T8850-.,,"2,00",UN,"395,00","505,62","790,00","36,00%"
2013123-0ACM SIGNBOND AZUL ESCURO ALTO BRILHO 3mm 1.22 x 5.00mt T808-.,,"1,00",UN,"400,00","252,59","400,00","36,85%"
2013118-0ACM SIGNBOND AZUL NOTURNO 3mm 1.22 x 5.00mt 8854-.,,"2,00",UN,"395,00","507,05","790,00","35,82%"
2013139-0ACM SIGNBOND GRAFITE 3mm 1.22 x 5.00mt 8863-.,,"1,00",UN,"400,00","257,73","400,00","35,57%"
2013155-0ACM SIGNBOND GRAFITE ESCURO 3mm 1.22 x 5.00mt 8865-.,,"3,00",UN,"400,00","754,05","1.200,00","37,16%"
